kind	name	line	baseline_classification
class	ValidatorArgs	135	incidental_current_surface
class	Reporter	147	incidental_current_surface
function	as_json_object	33	incidental_current_surface
function	as_json_array	50	incidental_current_surface
function	parse_args	221	incidental_current_surface
function	validate_cli_args	265	incidental_current_surface
function	workspace_path	280	incidental_current_surface
function	sha256	290	incidental_current_surface
function	valid_name	298	incidental_current_surface
function	validate_top_level	310	incidental_current_surface
function	resolve_document_version	332	incidental_current_surface
function	validate_record	383	incidental_current_surface
function	validate_uniqueness	492	incidental_current_surface
function	managed_files	518	incidental_current_surface
function	normalize_link_target	531	incidental_current_surface
function	validate_links	555	incidental_current_surface
function	validate_canonical_registry	578	incidental_current_surface
function	load_json	605	incidental_current_surface
function	validate_schema_definition	613	incidental_current_surface
function	schema_validation_errors	627	incidental_current_surface
function	validate_contract_schemas	642	incidental_current_surface
function	validate_document_instances	653	incidental_current_surface
function	validate_workflow_instance	671	incidental_current_surface
function	validate_gate_result_instances	710	incidental_current_surface
function	validate_evidence_instances	744	incidental_current_surface
function	validate_instances	814	incidental_current_surface
function	validate_approval_cross_references	825	incidental_current_surface
function	validate_yaml_instance	1029	incidental_current_surface
function	validate_provenance_packages	1061	incidental_current_surface
function	validate_workflow_references	1111	incidental_current_surface
function	ingestion_records	1227	incidental_current_surface
function	validate_ingestion_consistency	1239	incidental_current_surface
function	validate_g0	1395	incidental_current_surface
function	validate_g1	1429	incidental_current_surface
function	validate_garch	1539	incidental_current_surface
function	validate_g2	1564	incidental_current_surface
function	parse_front_matter	1858	incidental_current_surface
function	validate_governed	1939	incidental_current_surface
function	validate_feature_spec	2017	incidental_current_surface
function	validate_front_matter	2022	incidental_current_surface
function	load_registry	2062	incidental_current_surface
function	validate_registry_integrity	2081	incidental_current_surface
function	dispatch_gate	2111	incidental_current_surface
function	main	2134	approved_future_surface
