name	line	end_line	parameters
_accept_dynamic_value	23	25	value
_accept_dynamic_mapping	28	30	value
as_json_object	33	42	value
_accept_dynamic_array	45	47	value
as_json_array	50	54	value
parse_args	221	262	-
validate_cli_args	265	277	args,reporter
workspace_path	280	287	raw_path,reporter
sha256	290	295	path
valid_name	298	307	path
validate_top_level	310	329	data,reporter
resolve_document_version	332	380	documents,document_id,version,reporter
validate_record	383	489	record,reporter,strict_legacy
validate_uniqueness	492	515	id_version_pairs,paths,reporter
managed_files	518	528	-
normalize_link_target	531	552	markdown_path,raw_target
validate_links	555	575	reporter
validate_canonical_registry	578	602	data,documents,reporter
load_json	605	610	path,reporter
validate_schema_definition	613	624	schema,schema_path,reporter
schema_validation_errors	627	639	schema,instance
validate_contract_schemas	642	650	reporter
validate_document_instances	653	668	documents,reporter
validate_workflow_instance	671	707	reporter
validate_gate_result_instances	710	741	reporter
validate_evidence_instances	744	811	documents,reporter
validate_instances	814	822	documents,reporter
validate_approval_cross_references	825	1026	documents,reporter
validate_yaml_instance	1029	1058	instance_path,schema_path,wrapper_key,label,reporter
validate_provenance_packages	1061	1108	reporter
validate_workflow_references	1111	1224	workflow_data,reporter
ingestion_records	1227	1236	documents
validate_ingestion_consistency	1239	1392	documents,reporter
validate_g0	1395	1426	documents,reporter
validate_g1	1429	1536	documents,reporter
validate_garch	1539	1561	documents,reporter
validate_g2	1564	1820	documents,reporter,document_id_filter,version_filter
parse_front_matter	1858	1936	path,profile,reporter
validate_governed	1939	2014	registered_doc,reporter
validate_feature_spec	2017	2019	path,reporter
validate_front_matter	2022	2059	documents,reporter,document_id,version
load_registry	2062	2078	registry_path,reporter
validate_registry_integrity	2081	2107	documents,reporter,strict_legacy
dispatch_gate	2111	2131	args,documents,reporter
main	2134	2181	-
